LineType,Speaker,Sentence,BGM,SFX,IsFadeOut,Item,ChoiceText,NextScenario,IsEndingChoice,TargetEnding,InvestigationId,Background,Standing,Talker,IsSavePoint,SavePointId,Props
Normal,재훈,농담.,reminiscence1-2,,FALSE,,,,,,,,STD_Past01_Hansung_Angry|STD_Past01_Jaehoon_CloseEyes_Happy,none,,,
Normal,재훈, …실은 나도 너처럼 형사님 같은 사람이 되고 싶어.,reminiscence1-2,,FALSE,,,,,,,,STD_Past01_Hansung_Angry|STD_Past01_Jaehoon_Serious_OpenMouse,none,,,
Normal,재훈,덕분에 이렇게 아무 일 없는 날이 당연할 수도 있다는 걸 알게 됐거든.,reminiscence1-2,,FALSE,,,,,,,,STD_Past01_Hansung_Default|STD_Past01_Jaehoon_Serious_OpenMouse,none,,,
Normal,재훈,"어른이 되어야만 한다면, 누군가에게 편하게 숨을 쉬고 살아갈 틈을 주는 사람이 되고 싶어. ",reminiscence1-2,,FALSE,,,,,,,,STD_Past01_Hansung_Default|STD_Past01_Jaehoon_Serious_OpenMouse,none,,,
Normal,재훈,나한테 그럴 자격이 있는지는 잘…모르겠지만.,reminiscence1-2,,FALSE,,,,,,,,STD_Past01_Hansung_Default|STD_Past01_Jaehoon_CloseEyes_Happy,none,,,
Normal,한성,"네가 진심으로 마음을 먹었는데, 다른 뭐가 중요하겠어.",reminiscence1-2,,FALSE,,,,,,,,STD_Past01_Hansung_Default_OpenMouse|STD_Past01_Jaehoon_Serious,none,,,
Normal,한성,분명 될 수 있어. \n우리 꼭 같이 「정의의 용사」가 되자!,reminiscence1-2,,FALSE,,,,,,,,STD_Past01_Hansung_Default_OpenMouse|STD_Past01_Jaehoon_Serious,none,,,
Normal,재훈,…,reminiscence1-2,,FALSE,,,,,,,,STD_Past01_Hansung_Default|STD_Past01_Jaehoon_Default,none,,,
Normal,재훈,그래.,reminiscence1-2,,FALSE,,,,,,,,STD_Past01_Hansung_Default|STD_Past01_Jaehoon_CloseEyes_Happy,none,,,
Normal,한성,같이 수사도 가고 일도 가고 밥도 먹고 야근도 하고….,reminiscence1-2,,FALSE,,,,,,,,STD_Past01_Hansung_CloseEyes_OpenMouse|STD_Past01_Jaehoon_Default,none,,,
Normal,재훈,지금도 공부밖에 안 하면서 벌써 일만 할 생각을 해. 밥이라도 먹을 수 있어서 이걸 다행이라고 해야 할지.,reminiscence1-2,,FALSE,,,,,,,,STD_Past01_Hansung_Default|STD_Past01_Jaehoon_CloseEyes_OpenMouse,none,,,
Normal,한성,기대해.,reminiscence1-2,,FALSE,,,,,,,,STD_Past01_Hansung_CloseEyes_OpenMouse|STD_Past01_Jaehoon_Default,none,,,
Normal,재훈,참나….,reminiscence1-2,,FALSE,,,,,,,,STD_Past01_Hansung_Default|STD_Past01_Jaehoon_CloseEyes_Happy,none,,,
Normal,한성,크크.,reminiscence1-2,,FALSE,,,,,,,,STD_Past01_Hansung_CloseEyes_Happy|STD_Past01_Jaehoon_CloseEyes_Happy,none,,,
Normal,재훈,…,reminiscence1-2,,TRUE,,,,,,,none,none,none,,,
Normal,재훈,그때는 미처 알지 못했다. \n진심이야말로 가장 연약하다는 것을.,reminiscence1-2,,FALSE,,,,,,,none,,none,,,
Normal,차장,"어이, 차 대리. \n일어나. 일어나라고. ",,Clock_SFX,FALSE,,,,,,,,,none,,,
Normal,차장,"참나, 근무 시간에 엎드려서 잠을 자?",,,TRUE,,,,,,,BG_01_Office,STD_0107_Conductor_Angry2,none,,,
Normal,재훈,아…. 죄송합니다.,,,FALSE,,,,,,,,STD_0107_Conductor_Angry1,none,,,
Normal,차장,"죄송만으로는 안되지. \n무단결근에 업무 태만에, 회사가 장난이야?",,,FALSE,,,,,,,,STD_0107_Conductor_Angry2,none,,,
Normal,차장,일 전부 끝내기 전까진 나갈 생각도 마!,,,FALSE,,,,,,,,,none,,,
Normal,재훈,….,,,FALSE,,,,,,,,STD_0107_Conductor_Angry2,none,,,
Narration,,,Investigation,,TRUE,,,,,,none,none,none,none,TRUE,#01 사무실,
Investigate,,,Investigation,,,,,,,,BG_01_MyDesk,,none,none,,,
Narration,,,,,TRUE,,,,,,,BG_01_ConductorDesk,none,none,,,
Narration,,,,,FALSE,,,,,,,BG_01_ConductorDesk,none,none,,,OBJ_01_Document2
Normal,한성의 지인,죽은 곳을 알려달라고? \n네가 그건 알아서 뭐하게.,,,FALSE,,,,,,none,none,,none,,,
Normal,재훈,...그냥 넘어갈 수가 없어요. \n걔가 그럴 녀석이 아니라는 거 아시잖아요.,,,FALSE,,,,,,none,,,none,,,
Normal,한성의 지인,"만나기만 해도 열심히 비아냥대더니, 이제 와서?",,,FALSE,,,,,,none,,,none,,,
Normal,재훈,.......,,,FALSE,,,,,,none,,,none,,,
Normal,한성의 지인,줏대 없는 자식...,,,,,,scenario_02,,,,,,none,,,
