LineType,Speaker,Sentence,BGM,SFX,IsFadeOut,Item,ChoiceText,NextScenario,IsEndingChoice,TargetEnding,MinigameLabel,MinigameTimeLimit,MinigameBoxCount,MinigameCorrectIndex,InvestigationId,Background,Standing,Talker,IsSavePoint,SavePointId,DeductionId,Props
Narration,,,Investigation,,TRUE,,,,,,,,,,,,,none,TRUE,#03 경찰서,,
Investigate,,,Investigation,,,,,,,,,,,,BG_03_Police,,,none,,,,
Normal,한성,….,reminiscence1-1,,FALSE,,,,,,,,,,,none,none,none,,,,
Normal,한성,"야, 차재훈 \n...무슨 일 있는 거지? ",reminiscence1-1,,FALSE,,,,,,,,,,,,,none,,,,
Normal,한성,말 좀 해봐.,reminiscence1-1,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,….,reminiscence1-1,,FALSE,,,,,,,,,,,,,none,,,,
Normal,한성,무슨 일인데 학교도 안 가. \n요 며칠은 왜 안 보였는데.,reminiscence1-1,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,신경 쓰지 마.,reminiscence1-1,,FALSE,,,,,,,,,,,,,none,,,,
Normal,한성,야!,reminiscence1-1,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,….,reminiscence1-1,,TRUE,,,,,,,,,,,BG_Past03_Home,STD_Past03_Hansung_Angry,none,,,,
Normal,재훈,어머니 돌아가셨어. \n장례 치르고 왔다.,reminiscence1-1,,FALSE,,,,,,,,,,,,STD_Past03_Hansung_Default_OpenMouse,none,,,,
Normal,한성,….,reminiscence1-1,,FALSE,,,,,,,,,,,,STD_Past03_Hansung_Sorry,none,,,,
Normal,재훈,"친척들이 우리 집 꼴을 보고 비웃던 모습이 선명한데, 아버지 사업이 잘되니까 이제야 우릴 사람으로 보더라.",reminiscence1-1,,FALSE,,,,,,,,,,,,STD_Past03_Hansung_Default_OpenMouse,none,,,,
Normal,재훈,"다들 아버지한테 술 정말 열심히 따라주시고, 비위들도 참 좋아.",reminiscence1-1,,FALSE,,,,,,,,,,,,,none,,,,
Normal,한성,….,reminiscence1-1,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,...아버지가 나보고 집으로 돌아오라고 말하셨어. \n내 본분을 다하래. 내 방황이 끝날 때가 됐대. ,reminiscence1-1,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,내가 하고 있는 건 방황이래.,reminiscence1-1,,FALSE,,,,,,,,,,,,STD_Past03_Hansung_Sorry,none,,,,
Normal,한성,...후회해? \n우리랑 같이 살기 시작했던걸….,reminiscence1-1,,FALSE,,,,,,,,,,,,STD_Past03_Hansung_Sorry_OpenMouse,none,,,,
Normal,재훈,"…그 땐 가족들을 믿을 수가 없었어.\n아버지는 허구한 날 어머니랑 날 때렸고, 어머니는 본인도 나도 아버지께 순응해야 한다고 생각하셨어.",reminiscence1-1,,FALSE,,,,,,,,,,,,STD_Past03_Hansung_Sorry,none,,,,
Normal,재훈,피투성이가 돼서 돌아와도 날 보호해 줄 사람 하나 없는 곳을 나왔는데 후회할게 뭐가 있겠어. ,reminiscence1-1,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,선생님과 네가 나한테 잘못한 건 하나도 없어.,reminiscence1-1,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,…. \n근데 지금와서 헷갈리게 돼. ,reminiscence1-1,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,정말 후회하는 걸지도 몰라. ,reminiscence1-1,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,그냥 잘… 모르겠어. \n불안해서 아무것도 맘 편히 믿지를 못하겠어. ,reminiscence1-1,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,보고 듣고 느끼는 것들이 전부 언젠간 사라져 버릴 평화처럼 느껴져.,reminiscence1-1,,FALSE,,,,,,,,,,,,,none,,,,
Normal,한성,….,reminiscence1-1,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,"스스로 지옥을 빠져나갈 생각조차 하지 않는 사람도 있는데, \n돈을 많이 벌면 순식간에 처지가 좋아질 수도 있는데, \n잘못해도 사과하지 않고 살아가도 되는데,",reminiscence1-1,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,우리가 꿈을 이뤄도 정말 행복해질까.,reminiscence1-1,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,"사실 어렸을 적의 악몽 따위 별 일도 아니었고, \n나는 핑계나 대면서 내 의무를 저버린게 아닐까.",reminiscence1-1,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,"…결국 내가 너랑 선생님과 있었던 시간을 서서히 믿지 못하게 되어 가고 있다는 게, 가장 힘들고 무서워.",reminiscence1-1,,FALSE,,,,,,,,,,,,,none,,,,
Normal,한성,하찮게 여겨질 일들이 아니잖아. \n분명히 고통스러워 했잖아.,reminiscence1-1,,FALSE,,,,,,,,,,,,STD_Past03_Hansung_Sorry_OpenMouse,none,,,,
Normal,한성,왜 또 다시 너를 지켜주지 않는 곳에 갇혀버린 것처럼 생각하는거야.,reminiscence1-1,,FALSE,,,,,,,,,,,,STD_Past03_Hansung_Sorry_OpenMouse,none,,,,
Normal,재훈,"…바르게 살아갈 자신도, 확신도, 점점 사라져가버리고 말아서.",reminiscence1-1,,FALSE,,,,,,,,,,,,STD_Past03_Hansung_Default,none,,,,
Normal,한성,…....,reminiscence1-1,,FALSE,,,,,,,,,,,,STD_Past03_Hansung_Sorry,none,,,,
Normal,재훈,...나한텐 정의의 용사가 될 힘도 의지도 없더라고.\n 내가 끝까지 지켜낼 수 있는 삶이란 단 하나도…없었어.,reminiscence1-1,,FALSE,,,,,,,,,,,,STD_Past03_Hansung_Sorry,none,,,,
Normal,재훈,"한성이는 아무 말도 하지 않은 채 내 곁에서 한참을 앉아 있었다. \n그날부터 우리의 대화는 줄어들었다. 그 애도 나도, 서로를 피했다.",reminiscence1-1,,TRUE,,,,,,,,,,,none,none,none,,,,
Normal,재훈,"고등학교 졸업식이 끝나고, 나는 형사님, 그리고 한성이와 함께 살던 집을 떠나 친가로 돌아갔다. ",reminiscence1-1,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,집은 넓었고 깨끗했다. ,reminiscence1-1,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,새어머니와 너무나 어린 동생이 있었다. \n아버지는 그 둘 앞에서도 도덕이 삶의 기준이었던 사람마냥 행동하셨다. ,reminiscence1-1,,TRUE,,,,,,,,,,,BG_Past03_Family,,none,,,,
Normal,재훈,과거와 현재 중 무엇이 아버지의 진심이었는지 헷갈릴 정도였다.,reminiscence1-1,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,"대학을 졸업하고, 한성이와 나는 다시 연락하기 시작했다. \n그러나 서로의 가치관이 어긋나기 시작한 탓일까, 우리의 대화는 항상 본질을 꿰뚫지 못했고 겉을 맴돌았다.",reminiscence1-1,,TRUE,,,,,,,,,,,BG_Past03_Friend,,none,,,,
Normal,택시 기사,도착했습니다.,,,FALSE,,,,,,,,,,,none,,none,,,,
Normal,재훈,…선생님.,,,FALSE,,,,,,,,,,,BG_04_Home,STD_04_Teacher_Default,none,,,,
Normal,옛 형사,…청년은 누구신가?,,,FALSE,,,,,,,,,,,,STD_04_Teacher_Conversation,none,,,,
Normal,재훈,재훈이예요.,,,FALSE,,,,,,,,,,,,,none,,,,
Normal,옛 형사,"재훈, 재훈이. 재훈이가 누군가?",,,FALSE,,,,,,,,,,,,STD_04_Teacher_Default,none,,,,
Normal,재훈,…. 이제야 찾아봬서 죄송해요.,,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,…거기 누구 있어요?,,,TRUE,,,,,,,,,,,BG_04_Room_01,none,none,,,,
Normal,한성의 지인,여보세요? 또 뭔 일….,,,TRUE,,,,,,,,,,,BG_04_Room_02,none,none,,,,
Normal,재훈,지금부터 제가 소리 지르면 바로 경찰에 신고해 주세요.,,,FALSE,,,,,,,,,,,,,none,,,,
Normal,아이,…....,,,FALSE,,,,,,,,,,,BG_04_Room_03,STD_04_Child_Wary,none,,,,
Normal,재훈,어…. \n별일 없습니다. ,,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,너 아까 경찰서에 있었던 애 아니니?,,,FALSE,,,,,,,,,,,,,none,,,,
Normal,아이,….,,,FALSE,,,,,,,,,,,,STD_04_Child_Depressed,none,,,,
Normal,재훈,왜 남의 집에 몰래 들어왔어.,,,FALSE,,,,,,,,,,,,,none,,,,
Normal,아이,…그냥 형사님 돌아오실 때까지 기다리려고 했어요.,,,FALSE,,,,,,,,,,,,STD_04_Child_Depressed_OpenMouse,none,,,,
Normal,재훈,….,,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,"그 형사님, 며칠 전에 죽었어.",,,FALSE,,,,,,,,,,,,,none,,,,
Normal,아이,네? \n설마 저희를 도와주시다가....,,,FALSE,,,,,,,,,,,,STD_04_Child_Shocked,none,,,,
Normal,재훈,도와줘?,,,FALSE,,,,,,,,,,,,,none,,,,
Normal,아이,우리 아빠 일을.... \n...아빠는 일하시다가 다치신 뒤로 계속 병원에 계셨어요. ,,,FALSE,,,,,,,,,,,,STD_04_Child_Hurted,none,,,,
Normal,아이,"저 혼자서 아무것도 못 하고 있었는데, 아빠 잘못으로 다친 게 아니라는 소리를 들어서, 뭐라도 해보고 싶어서 경찰서에 갔어요. \n형사님이 제 얘기 들으시고는 계속 열심히 도와주셨어요.",,,FALSE,,,,,,,,,,,,,none,,,,
Normal,아이,근데 오늘 아빠 보내드리고 왔어요. \n결국 돌아가셨거든요.,,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,….….,,,FALSE,,,,,,,,,,,,STD_04_Child_Depressed,none,,,,
Normal,아이,"사실 형사님이 아빠 일 알아보는 게 더는 힘들 것 같다고 미안하다고 말하셨었는데, 제가 너무 많이 우니까.... 조금 더 힘내보신다고 하셨어요. \n그치만 이제 아빠가 죽었으니까, 그만 힘내도 된다고 말해야 할 것 같아서 갔는데, 계속 안 보이시는 거예요.",,,FALSE,,,,,,,,,,,,STD_04_Child_Hurted,none,,,,
Normal,재훈,….,,,FALSE,,,,,,,,,,,,STD_04_Child_Depressed,none,,,,
Normal,아이,"근데 그렇게 됐다니…\n 커다란 사람들이 병원에 와서 자주 화내고 갔는데, 형사님도 무서워서....",,,FALSE,,,,,,,,,,,,STD_04_Child_Hurted,none,,,,
Normal,재훈,"그냥 큰 소리만 들었다고 해서 그럴 사람은 아니니까, 걱정하지 마. 더 심한 일이 일어난 것 같긴 하지만.",,,FALSE,,,,,,,,,,,,STD_04_Child_Depressed,none,,,,
Normal,아이,…….,,,FALSE,,,,,,,,,,,,STD_04_Child_Shocked,none,,,,
Normal,재훈,…무서웠어? 내가 그 「큰 사람」들일까 봐?,,,FALSE,,,,,,,,,,,,STD_04_Child_Shocked,none,,,,
Normal,아이,…….,,,FALSE,,,,,,,,,,,,STD_04_Child_Depressed,none,,,,
Normal,재훈,…밥 먹었니.,,,FALSE,,,,,,,,,,,,,none,,,,
Normal,아이,…아니요.,,,FALSE,,,,,,,,,,,,STD_04_Child_Depressed_OpenMouse,none,,,,
Normal,재훈,…이불장에서는 나오고. 여기서 눈이라도 좀 붙이고 있어.,,,FALSE,,,,,,,,,,,,STD_04_Child_Depressed,none,,,,
Normal,재훈,그동안 밥도 제대로 못 드셨을 거 아니에요. 드세요.,,,TRUE,,,,,,,,,,,none,none,none,,,,
Normal,옛 형사,"계란말이, 아주 이쁘게 말았구먼...? \n우리 집에 살던 꼬마 녀석도 음식 하나는 자네처럼 예쁘게 만들었지. 어린애가 재주도 좋았어~",,,FALSE,,,,,,,,,,,,,none,,,,
Normal,옛 형사,어린애가 재주도 좋았어~,,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,"걔가 재훈이라니까요. \n아무튼, 체하지 않게 천천히 드셔야 해요.",,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,가기 전에 방은 깨끗하게 청소해 두고 갔네. 며칠 동안 쌓인 먼지만 쓸고 닦으면 되겠다. ,,,FALSE,,,,,,,,,,,BG_04_Room_04,STD_04_Child_Stand_waiting,none,,,,
Normal,재훈,갈 곳 없으면 이 집에서 자고 가. 나도 좀 있다가 갈 테니까.,,,FALSE,,,,,,,,,,,,,none,,,,
Normal,아이,그래도 돼요?,,,FALSE,,,,,,,,,,,,STD_04_Child_Stand_Lookatyou,none,,,,
Normal,재훈,…여긴 원래 갈 곳 없는 사람들 받아주던 곳이었어. \n부채감 갖지 않아도 돼. 나도 여기서 자랐고 잠시 있다간 사람들도 많아. ,,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,"다 저 할아버지의 배려 덕이었지. \n물론 저분이 기억도 오락가락하시고 말귀도 못 알아들으시지만, 너한테 귀찮게 구시진 않을 거야. 지금도 자기 방에만 있으시고.",,,FALSE,,,,,,,,,,,,,none,,,,
Normal,아이,…감사합니다.,,,FALSE,,,,,,,,,,,,STD_04_Child_Stand_waiting,none,,,,
Normal,재훈,밥 먹으러 가. 주방에 네 밥만 따로 차려놨어.,,,FALSE,,,,,,,,,,,,,none,,,,
Normal,아이,…저만요?,,,FALSE,,,,,,,,,,,,STD_04_Child_Stand_Lookatyou,none,,,,
Normal,재훈,응. 나는 나중에 따로 먹을게.,,,FALSE,,,,,,,,,,,,,none,,,,
Normal,한성,"내 방에 비밀 장소가 있는데, 특별히 너만 알려준다.",reminiscence1-2,,TRUE,,,,,,,,,,,BG_Past04_Room,STD_Past04_Hansung_Default_OpenMouse,none,,,,
Normal,재훈,안 알려줘도 돼. 너만 알고 있어.,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past04_Hansung_Default,none,,,,
Normal,한성,야!,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past04_Hansung_Angry_OpenMouse,none,,,,
Normal,재훈,왜.,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past04_Hansung_Angry,none,,,,
Normal,한성,사람 말은 끝까지 듣고 초를 쳐라. \n계획이 있어서 그런다. 계획이.,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past04_Hansung_Angry_OpenMouse,none,,,,
Normal,재훈,무슨 계획인데.,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past04_Hansung_Angry,none,,,,
Normal,한성,만약에 우리 둘 중에 누가 갑자기 커다란 사건에 휘말리면…. 유괴라도 당하기 전에 이 비밀 장소 안에 자신의 마지막 의지를 넣어두는 거야. \n남은 한 명이 그 의지를 이어가게 하는 거지.,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past04_Hansung_AngrySmile,none,,,,
Normal,재훈,너 영화 너무 많이 본 거 아니야?,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past04_Hansung_Angry,none,,,,
Normal,한성,"진지하게 하는 말이야. \n경찰이 되면 큰 사건도 맡을 수 있고, 그러면 우리 둘 중 하나는 잘못될 가능성이 있는 거잖아. ",reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past04_Hansung_Angry_OpenMouse,none,,,,
Normal,한성,"물론 둘 다 잘못되면, 전략은 수포로 돌아가긴 하겠지만….",reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past04_Hansung_Angry_OpenMouse,none,,,,
Normal,재훈,…까먹어 버리면 어떡하게.,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past04_Hansung_Angry,none,,,,
Normal,한성,글쎄. 넌 잘 기억하고 있을 것 같은데.,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past04_Hansung_Default_OpenMouse,none,,,,
Normal,재훈,"참나, 속도 편하셔.",reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past04_Hansung_Default,none,,,,
Narration,,,Investigation,,FALSE,,,,,,,,,,,BG_04_Room_05,none,none,,,,
Investigate,,,Investigation,,,,,,,,,,,,BG_04_Room_06,,,none,,,,
Normal,아이,잘 먹었습니다.,,,FALSE,,,,,,,,,,,BG_04_Room_07,STD_040506_Child_DefaultStand_Default,none,,,,
Normal,아이,……?,,,FALSE,,,,,,,,,,,,STD_040506_Child_DefaultStand_Default_OpenMouse,none,,,,
Normal,재훈,"…어, 그래. 잘 먹었어? 짜진 않았고?",,,FALSE,,,,,,,,,,,,STD_040506_Child_DefaultStand_Default,none,,,,
Normal,아이,네.,,,FALSE,,,,,,,,,,,,STD_040506_Child_DefaultStand_Default_OpenMouse,none,,,,
Normal,재훈,다른 방에 가서 자. 여긴 들어오지 말고.,,,FALSE,,,,,,,,,,,,STD_040506_Child_DefaultStand_Default,none,,,,
Normal,아이,왜요?,,,FALSE,,,,,,,,,,,,STD_040506_Child_DefaultStand_Default_OpenMouse,none,,,,
Normal,재훈,"...여기 한성이, 아니 형사님 방이니까. \n아무래도 좀 그렇잖아, 귀신 볼 것 같고. ",,,FALSE,,,,,,,,,,,,STD_040506_Child_DefaultStand_Default,none,,,,
Normal,재훈, 어린애가 있을 곳은 아니야.,,,FALSE,,,,,,,,,,,,,none,,,,
Normal,아이,...아저씨는 근데 누구세요?,,,FALSE,,,,,,,,,,,,STD_040506_Child_DefaultStand_Default_OpenMouse,none,,,,
Normal,재훈,……. \n형사님 친구야.,,,FALSE,,,,,,,,,,,,STD_040506_Child_DefaultStand_Default,none,,,,
Normal,아이,엄청 친하셨나 봐요.,,,FALSE,,,,,,,,,,,,STD_040506_Child_DefaultStand_Default_OpenMouse,none,,,,
Normal,재훈,"가족이었어, 한때.",,,FALSE,,,,,,,,,,,,STD_040506_Child_DefaultStand_Default,none,,,,
Normal,아이,...지금은 가족 아니에요?,,,FALSE,,,,,,,,,,,,STD_040506_Child_DefaultStand_Default_OpenMouse,none,,,,
Normal,재훈,이젠 따로 살아. \n게다가 이미 죽어버려서 다시 가족이 될 수도 없어.,,,FALSE,,,,,,,,,,,,STD_040506_Child_DefaultStand_Default,none,,,,
Normal,아이,...그러면 귀신 형사님 만나면 다시 가족이 될 수 있어요?,,,FALSE,,,,,,,,,,,,STD_040506_Child_DefaultStand_Default_OpenMouse,none,,,,
Normal,재훈,"푸핫, 발상 한번 좋다. \n이상한 곳에 머리 쓰지 말고, 가서 자라.",,,FALSE,,,,,,,,,,,,STD_040506_Child_DefaultStand_Default,none,,,,
Normal,아이,네....,,,FALSE,,,,,,,,,,,,STD_040506_Child_DefaultStand_Sorry_OpenMouse,none,,,,
Normal,재훈,무슨 일이야. 회사까지 찾아오고.,reminiscence1-1,,TRUE,,,,,,,,,,,BG_Past05_Loby,STD_Past05_Hansung_Stand_Default,none,,,,
Normal,한성,너한테 할 말 많아. 선생님 이야기도 있고. ,reminiscence1-1,,FALSE,,,,,,,,,,,,STD_Past05_Hansung_Stand_Default_OpenMouse,none,,,,
Normal,한성,...저녁에 시간 괜찮아?,reminiscence1-1,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,…….,reminiscence1-1,,FALSE,,,,,,,,,,,,STD_Past05_Hansung_Stand_Default,none,,,,
Normal,한성,"...선생님 요즘 상태가 더 안 좋아지셨어. \n젓가락 잡는 법도 헷갈려 하시고, 가끔은 나도 못 알아보셔.",reminiscence1-1,,TRUE,,,,,,,,,,,BG_Past05_Dinner,STD_Past05_Hansung_Default_OpenMouse,none,,,,
Normal,재훈,...유감이네.,reminiscence1-1,,FALSE,,,,,,,,,,,,STD_Past05_Hansung_Default,none,,,,
Normal,한성,더 늦기 전에 집 한 번 꼭 들려.,reminiscence1-1,,FALSE,,,,,,,,,,,,STD_Past05_Hansung_Default_OpenMouse,none,,,,
Normal,재훈,재훈이 잘 지낸다고 말씀드려라.,reminiscence1-1,,FALSE,,,,,,,,,,,,STD_Past05_Hansung_Default,none,,,,
Normal,한성,고집부리지 말고. \n그리고 너 잘 못 지내잖아. 거짓말을 왜 해.,reminiscence1-1,,FALSE,,,,,,,,,,,,STD_Past05_Hansung_Angry_OpenMouse,none,,,,
Normal,재훈,"네가 내가 잘 지내는지 아닌지 어떻게 아는데. \n...밥 잘 먹고, 집 있고, 사고 싶은 거 살 돈 있으면, 잘 지내는 거지.",reminiscence1-1,,FALSE,,,,,,,,,,,,STD_Past05_Hansung_Angry,none,,,,
Normal,한성,...회사에선 아직도 너한테 이상한 일 시켜?,reminiscence1-1,,FALSE,,,,,,,,,,,,STD_Past05_Hansung_Angry_OpenMouse,none,,,,
Normal,재훈,일상이지. 오늘도 회계 장부 숫자 바꿔치기했어. 사장님 아주 좋아하시더라. 감쪽같이 꿰매놨다고.,reminiscence1-1,,FALSE,,,,,,,,,,,,STD_Past05_Hansung_Angry,none,,,,
Normal,재훈,...뭐 그렇게 쳐다봐. 비단 나만 하는 일 아니야. 모두가 일상적으로 해. ,reminiscence1-1,,FALSE,,,,,,,,,,,,,none,,,,
